!`  ¡    \~y   ỹ    \lneq   ≨    \~\"{O}                                     Ṏ
\mp ∓    \d\=R Ṝ    \eqcirc ≖    ^\o with stroke                             𐞢
\mu μ    \d\=l ḹ    \exists ∃    ^\turned open e                             ᵌ
\ne ≠    \d\=r ṝ    \female ♀    ^\turned r hook                             ʵ
\ni ∋    \ddag ‡    \forall ∀    \bigtriangledown                            ▽
\nu ν    \defs ≙    \frac12 ½    \circlearrowleft                            ↺
\oe œ    \dong ₫    \frac13 ⅓    \curvearrowright                            ↷
\pi π    \d{A} Ạ    \frac14 ¼    \downleftharpoon                            ⇃
\pm ±    \d{B} Ḅ    \frac15 ⅕    \leftharpoondown                            ↽
\rq ’    \d{D} Ḍ    \frac16 ⅙    \leftrightarrows                            ⇆
\ss ß    \d{E} Ẹ    \frac18 ⅛    \nLeftrightarrow                            ⇎
\th þ    \d{H} Ḥ    \frac23 ⅔    \nleftrightarrow                            ↮
\to →    \d{I} Ị    \frac25 ⅖    \ntrianglelefteq                            ⋬
\uA Ă    \d{K} Ḳ    \frac34 ¾    \rightleftarrows                            ⇄
\uE Ĕ    \d{L} Ḷ    \frac35 ⅗    \rightthreetimes                            ⋌
\uG Ğ    \d{M} Ṃ    \frac38 ⅜    \squigarrowright                            ⇝
\uI Ĭ    \d{N} Ṇ    \frac45 ⅘    \textinterrobang                            ‽
\uO Ŏ    \d{O} Ọ    \frac56 ⅚    \textmusicalnote                            ♪
\uU Ŭ    \d{R} Ṛ    \frac58 ⅝    \trianglerighteq                            ⊵
\ua ă    \d{S} Ṣ    \frac78 ⅞    \vartriangleleft                            ⊲
\ue ĕ    \d{T} Ṭ    \gangia ϫ    ^\heng with hook                            𐞗
\ug ğ    \d{U} Ụ    \gtrdot ⋗    \circlearrowright                           ↻
\ui ĭ    \d{V} Ṿ    \gtrsim ≳    \downrightharpoon                           ⇂
\uo ŏ    \d{W} Ẉ    \hsmash ⬌    \ntrianglerighteq                           ⋭
\uu ŭ    \d{Y} Ỵ    \iiiint ⨌    \rightharpoondown                           ⇁
\vA Ǎ    \d{Z} Ẓ    \k\={O} Ǭ    \rightrightarrows                           ⇉
\vC Č    \d{a} ạ    \k\={o} ǭ    \twoheadleftarrow                           ↞
\vD Ď    \d{b} ḅ    \kelvin K    \vartriangleright                           ⊳
\vE Ě    \d{d} ḍ    \lambda λ    ^\r with fishhook                           𐞩
\vG Ǧ    \d{e} ẹ    \langle ⟨    ^\reversed open e                           ᶟ
\vH Ȟ    \d{h} ḥ    \lfloor ⌊    \blacktriangledown                          ▾
\vI Ǐ    \d{i} ị    \ltimes ⋉    \blacktriangleleft                          ◂
\vK Ǩ    \d{k} ḳ    \mapsto ↦    \leftrightharpoons                          ⇋
\vL Ľ    \d{l} ḷ    \models ⊧    \rightleftharpoons                          ⇌
\vN Ň    \d{m} ṃ    \nVDash ⊯    \textcolonmonetary                          ₡
\vO Ǒ    \d{n} ṇ    \nVdash ⊮    \textreferencemark                          ※
\vR Ř    \d{o} ọ    \nequiv ≢    \twoheadrightarrow                          ↠
\vS Š    \d{r} ṛ    \nsimeq ≄    ^\n with left hook                          ᶮ
\vT Ť    \d{s} ṣ    \numero №    ^\u with left hook                          ꭟ
\vU Ǔ    \d{t} ṭ    \nvDash ⊭    \Longleftrightarrow                         ⇔
\vZ Ž    \d{u} ụ    \nvdash ⊬    \blacktriangleright                         ▸
\va ǎ    \d{v} ṿ    \oiiint ∰    \longleftrightarrow                         ⟷
\vc č    \d{w} ẉ    \ominus ⊖    \textpertenthousand                         ‱
\vd ď    \d{y} ỵ    \oslash ⊘    ^\v with right hook                         𐞰
\ve ě    \d{z} ẓ    \otimes ⊗    \leftrightsquigarrow                        ↭
\vg ǧ    \euro €    \permil ‰    \textfractionsolidus                        ⁄
\vh ȟ    \flat ♭    \peseta ₧    ^\capital inverted r                        ʶ
\vi ǐ    \flqq «    \pounds £    ^\turned r with hook                        ʵ
\vj ǰ    \frqq »    \pprime ″    ^\turned y with belt                        𐞡
\vk ǩ    \geqq ≧    \preceq ≼    ^\capital g with hook                       𐞔
\vl ľ    \gets ←    \propto ∝    ^\capital l with belt                       𐞜
\vn ň    \glqq „    \rangle ⟩    ^\j with crossed-tail                       ᶨ
\vo ǒ    \gneq ≩    \rddots ⋰    ^\l with middle tilde                       ꭞ
\vr ř    \grqq “    \rfloor ⌋    ^\l with palatal hook                       ᶪ
\vs š    \hbar ℏ    \rtimes ⋊    ^\t with palatal hook                       ᶵ
\vt ť    \heta ͱ    \square □    ^\d with hook and tail                      𐞍
\vu ǔ    \hori ϩ    \stigma ϛ    ^\dz digraph with curl                      𐞉
\vz ž    \iint ∬    \subset ⊂    ^\tc digraph with curl                      𐞫
\wp ℘    \iota ι    \succeq ≽    ^\capital i with stroke                     ᶧ
\wr ≀    \k\=O Ǭ    \supset ⊃    ^\dotless j with stroke                     ᶡ
\xi ξ    \k\=o ǭ    \textmu µ    ^\l with retroflex hook                     ᶩ
\~A Ã    \khei ϧ    \tugrik ₮    ^\n with retroflex hook                     ᶯ
\~E Ẽ    \k{A} Ą    \u\'{A} Ắ    ^\reversed glottal stop                     ˤ
\~I Ĩ    \k{E} Ę    \u\'{a} ắ    ^\t with retroflex hook                     𐞯
\~N Ñ    \k{I} Į    \u\`{A} Ằ    ^\z with retroflex hook                     ᶼ
\~O Õ    \k{O} Ǫ    \u\`{a} ằ    ^\closed reversed open e                    𐞏
\~U Ũ    \k{U} Ų    \u\d{A} Ặ    ^\l with inverted lazy s                    ꭝ
\~V Ṽ    \k{a} ą    \u\d{a} ặ    ^\turned m with long leg                    ᶭ
\~Y Ỹ    \k{e} ę    \u\~{A} Ẵ    ^\turned r with long leg                    𐞦
\~a ã    \k{i} į    \u\~{a} ẵ    ^\lezh with retroflex hook                  𐞟
\~e ẽ    \k{o} ǫ    \v\.{S} Ṧ    ^\dotless j with stroke and hook            𐞘
\~i ĩ    \k{u} ų    \v\.{s} ṧ    ^\dz digraph with retroflex hook            𐞈
\~n ñ    \lari ₾    \varkai ϗ    ^\l with retroflex hook and belt            𐞝
\~o õ    \ldiv ∕    \varphi φ    ^\ts digraph with retroflex hook            𐞭
\~u ũ    \leqq ≦    \varrho ϱ    ^\turned r with long leg and retroflex hook 𐞧
\~v ṽ    \lira ₤    \veebar ⊻
